文字	文字クラス	番号	ダイアクリティカルマーク	大小	清濁	記号種別	仮名種別
 	スペース	1					
　	スペース	1					
、	記述記号	1					
。	記述記号	2					
，	記述記号	3					
．	記述記号	4					
・	記述記号	5					
：	記述記号	6					
；	記述記号	7					
？	記述記号	8					
！	記述記号	9					
￣	記述記号	10					
＿	記述記号	11					
―	記述記号	12					
‐	記述記号	13					
／	記述記号	14					
＼	記述記号	15					
～	記述記号	16					
∥	記述記号	17					
｜	記述記号	18					
…	記述記号	19					
‥	記述記号	20					
‘	括弧記号	1					
’	括弧記号	2					
“	括弧記号	3					
”	括弧記号	4					
（	括弧記号	5					
）	括弧記号	6					
〔	括弧記号	7					
〕	括弧記号	8					
［	括弧記号	9					
］	括弧記号	10					
｛	括弧記号	11					
｝	括弧記号	12					
〈	括弧記号	13					
〉	括弧記号	14					
《	括弧記号	15					
》	括弧記号	16					
「	括弧記号	17					
」	括弧記号	18					
『	括弧記号	19					
』	括弧記号	20					
【	括弧記号	21					
】	括弧記号	22					
＋	学術記号	1					
－	学術記号	2					
±	学術記号	3					
×	学術記号	4					
÷	学術記号	5					
＝	学術記号	6					
≠	学術記号	7					
＜	学術記号	8					
＞	学術記号	9					
≦	学術記号	10					
≧	学術記号	11					
≒	学術記号	12					
≪	学術記号	13					
≫	学術記号	14					
∝	学術記号	15					
∞	学術記号	16					
∂	学術記号	17					
∇	学術記号	18					
√	学術記号	19					
∫	学術記号	20					
∬	学術記号	21					
∠	学術記号	22					
⊥	学術記号	23					
⌒	学術記号	24					
≡	学術記号	25					
∽	学術記号	26					
∈	学術記号	27					
∋	学術記号	28					
⊆	学術記号	29					
⊇	学術記号	30					
⊂	学術記号	31					
⊃	学術記号	32					
∪	学術記号	33					
∩	学術記号	34					
∧	学術記号	35					
∨	学術記号	36					
￢	学術記号	37					
⇒	学術記号	38					
⇔	学術記号	39					
∀	学術記号	40					
∃	学術記号	41					
∴	学術記号	42					
∵	学術記号	43					
♂	学術記号	44					
♀	学術記号	45					
＃	一般記号	1					
#	一般記号	1					
＆	一般記号	2					
&	一般記号	2					
＠	一般記号	3					
@	一般記号	3					
＊	一般記号	4					
*	一般記号	4					
§	一般記号	5					
¶	一般記号	6					
※	一般記号	7					
†	一般記号	8					
‡	一般記号	9					
☆	一般記号	10					
★	一般記号	11					
○	一般記号	12					
●	一般記号	13					
◎	一般記号	14					
◇	一般記号	15					
◆	一般記号	16					
□	一般記号	17					
■	一般記号	18					
△	一般記号	19					
▲	一般記号	20					
▽	一般記号	21					
▼	一般記号	22					
〒	一般記号	23					
→	一般記号	24					
←	一般記号	25					
↑	一般記号	26					
↓	一般記号	27					
♯	一般記号	28					
♭	一般記号	29					
♪	一般記号	30					
°	単位記号	1					
′	単位記号	2					
″	単位記号	3					
℃	単位記号	4					
￥	単位記号	5					
¥	単位記号	5					
＄	単位記号	6					
$	単位記号	6					
￠	単位記号	7					
￡	単位記号	8					
％	単位記号	9					
%	単位記号	9					
‰	単位記号	10					
Å	単位記号	11					
0	アラビア数字	1					
０	アラビア数字	1					
1	アラビア数字	2					
１	アラビア数字	2					
2	アラビア数字	3					
２	アラビア数字	3					
3	アラビア数字	4					
３	アラビア数字	4					
4	アラビア数字	5					
４	アラビア数字	5					
5	アラビア数字	6					
５	アラビア数字	6					
6	アラビア数字	7					
６	アラビア数字	7					
7	アラビア数字	8					
７	アラビア数字	8					
8	アラビア数字	9					
８	アラビア数字	9					
9	アラビア数字	10					
９	アラビア数字	10					
α	欧字記号	1					
β	欧字記号	2					
γ	欧字記号	3					
δ	欧字記号	4					
ε	欧字記号	5					
ζ	欧字記号	6					
η	欧字記号	7					
θ	欧字記号	8					
ι	欧字記号	9					
κ	欧字記号	10					
λ	欧字記号	11					
μ	欧字記号	12					
ν	欧字記号	13					
ξ	欧字記号	14					
ο	欧字記号	15					
π	欧字記号	16					
ρ	欧字記号	17					
σ	欧字記号	18					
τ	欧字記号	19					
υ	欧字記号	20					
φ	欧字記号	21					
χ	欧字記号	22					
ψ	欧字記号	23					
ω	欧字記号	24					
Α	欧字記号	25					
Β	欧字記号	26					
Γ	欧字記号	27					
Δ	欧字記号	28					
Ε	欧字記号	29					
Ζ	欧字記号	30					
Η	欧字記号	31					
Θ	欧字記号	32					
Ι	欧字記号	33					
Κ	欧字記号	34					
Λ	欧字記号	35					
Μ	欧字記号	36					
Ν	欧字記号	37					
Ξ	欧字記号	38					
Ο	欧字記号	39					
Π	欧字記号	40					
Ρ	欧字記号	41					
Σ	欧字記号	42					
Τ	欧字記号	43					
Υ	欧字記号	44					
Φ	欧字記号	45					
Χ	欧字記号	46					
Ψ	欧字記号	47					
Ω	欧字記号	48					
а	欧字記号	49					
б	欧字記号	50					
в	欧字記号	51					
г	欧字記号	52					
д	欧字記号	53					
е	欧字記号	54					
ё	欧字記号	55					
ж	欧字記号	56					
з	欧字記号	57					
и	欧字記号	58					
й	欧字記号	59					
к	欧字記号	60					
л	欧字記号	61					
м	欧字記号	62					
н	欧字記号	63					
о	欧字記号	64					
п	欧字記号	65					
р	欧字記号	66					
с	欧字記号	67					
т	欧字記号	68					
у	欧字記号	69					
ф	欧字記号	70					
х	欧字記号	71					
ц	欧字記号	72					
ч	欧字記号	73					
ш	欧字記号	74					
щ	欧字記号	75					
ъ	欧字記号	76					
ы	欧字記号	77					
ь	欧字記号	78					
э	欧字記号	79					
ю	欧字記号	80					
я	欧字記号	81					
А	欧字記号	82					
Б	欧字記号	83					
В	欧字記号	84					
Г	欧字記号	85					
Д	欧字記号	86					
Е	欧字記号	87					
Ё	欧字記号	88					
